Reference,Name,Price,URL
GM101464,"Parle Hide & Seek Chocolate, 33 gm Pouch
Parle Hide & Seek Chocolate, 120 gm Pouch","Rs. 10.00
Rs. 30.00",http://www.bigbasket.com/pd/302121/parle-hide-seek-chocolate-120-gm-pouch/?nc=as
GM108905,"Parle Bake Smith Marie Biscuits, 90 gm Pouch
Parle Bake Smith Marie Biscuits, 300 gm Pouch","Rs. 10.00
Rs. 27.00",http://www.bigbasket.com/pd/216875/parle-bake-smith-marie-biscuits-300-gm-pouch/
GM101445,"Parle Glucos Biscuits - Parle-G, 250 gm
Parle Gluco Biscuits - Parle-G, 140 gm Pouch
Parle Gluco Biscuits - Parle-G, 800 gm Pouch
Parle Gluco Biscuits - Parle-G, 70 gm Pouch","Rs. 20.00
Rs. 10.00
Rs. 60.00
Rs. 5.00",http://www.bigbasket.com/pd/102102/parle-gluco-biscuits-parle-g-800-gm-pouch/?nc=as
GM101593,"Kelloggs Chocos, 1.2 kg
Kelloggs Chocos, 375 gm Carton
Kelloggs Chocos, 125 gm Carton
Kelloggs Chocos, 700 gm Carton
Kelloggs Chocos, 250 gm Carton","Rs. 400.00
Rs. 155.00
Rs. 55.00
Rs. 280.00
Rs. 109.00",http://www.bigbasket.com/pd/30008601/kelloggs-chocos-12-kg/?nc=as
GM101349,"Britannia Biscuits - Marie Gold, 200 gm Pouch
Britannia Biscuits - Marie Gold, 120 gm Pouch
Britannia Biscuits - Marie Gold, 250 gm Pouch
Britannia Biscuits - Marie Gold, 89 gm Pouch
Britannia Biscuits - Marie Gold, 43 gm Pouch","Rs. 22.00
Rs. 15.00
Rs. 27.00
Rs. 10.00
Rs. 5.00",http://www.bigbasket.com/pd/220244/britannia-biscuits-marie-gold-250-gm-pouch/
GM102494,"Bagrrys Fruit N Fibre Muesli - Strawberry, 1 kg Jar
Bagrrys Fruit N Fibre Muesli - Strawberry, 400 gm Carton","Rs. 499.00
Rs. 217.00",http://www.bigbasket.com/pd/159713/bagrrys-fruit-n-fibre-muesli-strawberry-400-gm-carton/
GM102493,"Bagrrys Fruit N Fibre Muesli - Mixed Fruit, 1 kg Jar",Rs. 449.00,http://www.bigbasket.com/pd/221410/bagrrys-fruit-n-fibre-muesli-mixed-fruit-1-kg-jar/?nc=as
GM102492,"Bagrrys Fruit N Fibre Muesli - Apple, 400 gm Carton
Bagrrys Fruit N Fibre Muesli - Apple, 1 kg Jar","Rs. 217.00
Rs. 499.00",http://www.bigbasket.com/pd/159706/bagrrys-fruit-n-fibre-muesli-apple-400-gm-carton/?nc=as
GM102090,"Dabur Honey, 250 gm Jar
Dabur Honey, 500 gm Jar
Dabur Honey, 100 gm Bottle
Dabur Honey, 50 gm Bottle
Dabur Honey, 1 kg Jar
Dabur Honey, 400 gm Bottle","Rs. 122.00
Rs. 199.00
Rs. 59.00
Rs. 37.00
Rs. 380.00
Rs. 175.00",http://www.bigbasket.com/pd/240125/dabur-honey-400-gm-bottle/?nc=as
GM102491,"Bagrrys Crunchy Muesli - Almond and Raisins, 1 kg Jar",Rs. 449.00,http://www.bigbasket.com/pd/221404/bagrrys-crunchy-muesli-almond-and-raisins-1-kg-jar/
GM102503,"Quaker Oats, 1.5 Kg Pouch
Quaker Oats, 1 kg Pouch
Quaker Oats, 400 gm Pouch
Quaker Oats, 600 gm Pouch
Quaker Oats, 200 gm Pouch","Rs. 235.00
Rs. 160.00
Rs. 78.00
Rs. 99.00
Rs. 45.00",http://www.bigbasket.com/pd/208345/quaker-oats-1-kg-pouch/
GM102079,"Kissan Mixed Fruit Jam, 700 gm
Kissan Mixed Fruit Jam, 200 gm
Kissan Mixed Fruit Jam, 500 gm","Rs. 175.00
Rs. 60.00
Rs. 130.00",http://www.bigbasket.com/pd/266543/kissan-mixed-fruit-jam-200-gm/?nc=as
GM102480,"Kissan Fresh Tomato Ketchup, 500 gm Bottle
Kissan Fresh Tomato Ketchup, 1 kg Bottle
Kissan Fresh Tomato Ketchup, 200 gm","Rs. 97.00
Rs. 145.00
Rs. 48.00",http://www.bigbasket.com/pd/152450/kissan-fresh-tomato-ketchup-1-kg-bottle/
GM101849,"Lays Potato Chips - American Style Cream & Onion Flavour, 52 gm Pouch
Lays Potato Chips - American Style Cream & Onion Flavour, 95 gm Pouch
Lays Potato Chips - American Style Cream & Onion Flavour, 25 gm Pouch","Rs. 20.00
Rs. 35.00
Rs. 10.00",http://www.bigbasket.com/pd/102745/lays-potato-chips-american-style-cream-onion-flavour-52-gm-pouch/?nc=as
GM101854,"Lays Potato Chips - Classic Salted, 95 gm Pouch
Lays Potato Chips - Classic Salted, 52 gm Pouch
Lays Potato Chips - Classic Salted, 25 gm","Rs. 35.00
Rs. 20.00
Rs. 10.00",http://www.bigbasket.com/pd/102741/lays-potato-chips-classic-salted-52-gm-pouch/
GM101839,"Kurkure Namkeen - Masala Munch, 50 gm
Kurkure Namkeen - Masala Munch, 125 gm","Rs. 10.00
Rs. 20.00",http://www.bigbasket.com/pd/294305/kurkure-namkeen-masala-munch-50-gm/?nc=as
GM101278,"MTR Vermicelli, 900 gm Pouch
MTR Vermicelli, 400 gm Pouch","Rs. 65.00
Rs. 37.00",http://www.bigbasket.com/pd/265947/mtr-vermicelli-900-gm-pouch/
GM101858,"Lays Potato Chips - Indias Magic Masala, 52 gm Pouch
Lays Potato Chips - Indias Magic Masala, 30 gm Pouch","Rs. 20.00
Rs. 10.00",http://www.bigbasket.com/pd/100022654/lays-potato-chips-indias-magic-masala-30-gm-pouch/?nc=as
GM100978,"Amul Butter - Pasteurized, 500 gm Carton
Amul Butter - Pasteurized, 100 gm Carton","Rs. 215.00
Rs. 44.00",http://www.bigbasket.com/pd/104860/amul-butter-pasteurized-100-gm-carton/?nc=as
GM101865,"Lays Potato Chips - Spanish Tomato Tango, 52 gm Pouch
Lays Potato Chips - Spanish Tomato Tango, 95 gm Pouch
Lays Potato Chips - Spanish Tomato Tango, 25 gm Pouch","Rs. 20.00
Rs. 35.00
Rs. 10.00",http://www.bigbasket.com/pd/102753/lays-potato-chips-spanish-tomato-tango-52-gm-pouch/
GM102022,"Maggi Noodles - Masala, 420 gm Pouch
Maggi Noodles - Masala, 70 gm Pouch
Maggi Noodles - Masala, 560 gm Pouch
Maggi Noodles - Masala, 280 gm Pouch","Rs. 67.00
Rs. 12.00
Rs. 89.00
Rs. 45.00",http://www.bigbasket.com/pd/266162/maggi-noodles-masala-280-gm-pouch/?nc=as
GM100978,"Amul Butter - Pasteurized, 500 gm Carton
Amul Butter - Pasteurized, 100 gm Carton","Rs. 215.00
Rs. 44.00",http://www.bigbasket.com/pd/104860/amul-butter-pasteurized-100-gm-carton/?nc=as
GM103951,"Lizol Disinfectant Surface Cleaner - Lavender, 500 ml Bottle
Lizol Disinfectant Surface Cleaner - Lavender, 975 ml Bottle
Lizol Disinfectant Surface Cleaner - Lavender, 2 ltr","Rs. 79.00
Rs. 142.50
Rs. 270.00",http://www.bigbasket.com/pd/274775/lizol-disinfectant-surface-cleaner-lavender-975-ml-bottle/?nc=as
GM103956,"Lizol Disinfectant Surface Cleaner - Pine, 975 ml Bottle
Lizol Disinfectant Surface Cleaner - Pine, 2 ltr
Lizol Disinfectant Surface Cleaner - Pine, 500 ml Bottle","Rs. 142.50
Rs. 261.00
Rs. 76.00",http://www.bigbasket.com/pd/263762/lizol-disinfectant-surface-cleaner-pine-975-ml-bottle/?nc=as
GM100242,"Fortune  Refined Oil - Soya Bean, 1 ltr Pouch",Rs. 110.00,http://www.bigbasket.com/pd/272765/fortune-refined-oil-soya-bean-1-ltr-pouch/
GM109672,"Elina Basmati Rice, 1 kg
Elina Basmati Rice, 5 kg","Rs. 175.00
Rs. 349.00",http://www.bigbasket.com/pd/40018399/elina-basmati-rice-5-kg/
GM103885,"HIT Spray Flying Insect Killer (FIK), 625 ml
HIT Spray Flying Insect Killer (FIK), 200 ml
HIT Flying Insect Killer (FIK), 400 ml
HIT Flying Insect Killer (FIK), 320 ml
HIT Spray Flying Insect Killer (FIK), 125 ml","Rs. 249.00
Rs. 92.00
Rs. 172.00
Rs. 145.00
Rs. 60.00",http://www.bigbasket.com/pd/268762/hit-flying-insect-killer-fik-400-ml/
GM103952,"Lizol Disinfectant Floor Cleaner - Citrus, 2 ltr
Lizol Disinfectant Floor Cleaner - Citrus, 975 ml Bottle
Lizol Disinfectant Floor Cleaner - Citrus, 500 ml Bottle
Lizol Disinfectant Floor Cleaner - Citrus, 200 ml","Rs. 290.00
Rs. 142.50
Rs. 79.00
Rs. 32.00",http://www.bigbasket.com/pd/263753/lizol-disinfectant-floor-cleaner-citrus-975-ml-bottle/?nc=as
GM103966,"Colin Cleaner - Glass and Household (Ultra Shine Formula), 500 ml Bottle",Rs. 67.50,http://www.bigbasket.com/pd/263819/colin-cleaner-glass-and-household-ultra-shine-formula-500-ml-bottle/?nc=as
GM103953,"Lizol Disinfectant Floor Cleaner - Floral, 2 ltr
Lizol Disinfectant Floor Cleaner - Floral, 975 ml Bottle
Lizol Disinfectant Floor Cleaner - Floral, 500 ml Bottle
Lizol Disinfectant Floor Cleaner - Floral, 200 ml","Rs. 261.00
Rs. 137.75
Rs. 79.00
Rs. 32.00",http://www.bigbasket.com/pd/263740/lizol-disinfectant-floor-cleaner-floral-975-ml-bottle/?nc=as
GM103087,"Vim Dishwash Bar, 200 gm                                                                                                    ( Pack of 3 )",Rs. 48.00,http://www.bigbasket.com/pd/266969/vim-dishwash-bar-200-gm/
GM103688,"Harpic Powerplus Original, 200 ml
Harpic Powerplus - Original, 1 ltr
Harpic Powerplus - Original, 500 ml","Rs. 30.00
Rs. 127.80
Rs. 76.00",http://www.bigbasket.com/pd/298290/harpic-powerplus-original-1-ltr/?nc=as
GM103955,"Lizol Disinfectant Surface Cleaner - Jasmine, 500 ml Bottle
Lizol Disinfectant Surface Cleaner - Jasmine, 975 ml Bottle","Rs. 79.00
Rs. 137.75",http://www.bigbasket.com/pd/281394/lizol-disinfectant-surface-cleaner-jasmine-975-ml-bottle/?nc=rp
GM103553,"Vim Ultra Dishwash Powder, 1 kg",Rs. 33.00,http://www.bigbasket.com/pd/266978/vim-ultra-dishwash-powder-1-kg/?nc=as
GM103555,"Genteel Liquid Detergent, 500 gm Bottle
Genteel Liquid Detergent, 1 kg Bottle                                                                                                                                 ( Buy 1 Get 1 Free )","Rs. 99.00
Rs. 259.00",http://www.bigbasket.com/pd/100017599/genteel-liquid-detergent-1-kg-bottle/?nc=as
