Reference,Name,Price,URL
GM103482,Colgate Total Advanced Health Toothpaste,₹105,https://grofers.com/prn/colgate-total-advanced-health-toothpaste/prid/968
GM104350,Head & Shoulders Smooth & Silky Shampoo,₹250,https://grofers.com/prn/head-shoulders-smooth-silky-shampoo/prid/104710
GM104386,Pantene Daily Moisture Renewal Shampoo,₹200,https://grofers.com/prn/pantene-daily-moisture-renewal-shampoo/prid/110119
GM103620,Dabur - Chyawanprash,₹295,https://grofers.com/prn/dabur-chyawanprash/prid/23826
GM104392,Pantene Hair Fall Control Shampoo,₹200,https://grofers.com/prn/pantene-hair-fall-control-shampoo/prid/864
GM104897,Whisper Ultra Clean Sanitary Napkin (Extra Large Wings),₹165,https://grofers.com/prn/whisper-ultra-clean-xl-wings-sanitary-napkin/prid/41824
GM104015,Dabur Amla - Hair Oil,₹84,https://grofers.com/prn/dabur-amla-hair-oil/prid/91224
GM104238,Vaseline Intensive Care Deep Restore - Body Lotion,₹215,https://grofers.com/prn/vaseline-intensive-care-deep-restore-body-lotion/prid/137433
GM104346,Head & Shoulders Cool Menthol Shampoo,₹250,https://grofers.com/prn/head-shoulders-cool-menthol-shampoo/prid/91027
GM100023,Aashirvaad Whole Wheat Atta,₹380,https://grofers.com/prn/aashirvaad-whole-wheat-atta/prid/333324
GM100177,Milkfood Pure Ghee (Tetra Pak),₹450,https://grofers.com/prn/milkfood-pure-ghee-tetra-pak/prid/82898
